brand,model_slug,text,rating,cleaned_review,sentiment_score,sentiment_label
ATHER,rizta,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,,superb bike price use daily rutiene bike also long rout milage good trust prefer whose people want daily routine work like field job porter daily works trust bike want milage,0.9493,Positive
ATHER,rizta,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good ðŸ‘ ðŸ‘Œ. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike ðŸ . I will appreciate for your hard work ðŸ™ â¤ï¸ ðŸ’ª.,,good bike appearance speed shoot offf reading one best bike ever seen texture dezing lining etc good thanks honour launch bike india thanks team member made goges bike appreciate hard work,0.9607,Positive
ATHER,rizta,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also ðŸ‘Œ good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raiderðŸ‘,,tvs raider best bike price range excellent companies bikes range range milage bike better engine also good looks bike glamorous give personality bikes many people neighbors already bikes recommend people bikea good bike tvs raider,0.9698,Positive
ATHER,rizta,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650â€™s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",,bought bike 6 months ago done almost 9000km bike running smooth little little bit modification exhaust sounds better re650 € good performance comfortable mileage good enough 650cc motorcycle anyone looking 650 would recommend take test ride goldstar regret,0.8678,Positive
ATHER,450-apex,Actually worth buying Just the charging time is a bit more But overall itâ€™s good Its Aggressive looks make it different from others High performance with good acceleration.....,4.7,actually worth buying charging time bit overall € good aggressive looks make different others high performance good acceleration,0.7269,Positive
ATHER,450-apex,This bike is vfm i bought it recently and the acceleration is crazy as hell if u have the money you can definitely go for it and the range is also quite good and you can use it.....,5.0,bike vfm bought recently acceleration crazy hell u money definitely go range also quite good use,-0.2748,Negative
ATHER,450-apex,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",,riding scrambler 400x overall rewarding experience bike strong person retro modern design definitely turns heads build quality field premium something expect triumph finish tank body top notch performance wise 398cc single cylinder engine packs decent punch smooth refined enough grunt city light offroad suspension tires made light offroad ride yeah indian roads actually light offroad best complaint noticed cons 1 noticeable engine shim noise issue nothing bike still irritates riding also spoken brand said normal something expect brand like triumph 2 indicators tail tidy feels low quality indicators got water intake raining washing within days purchase also indicators faded within months even small hit pillion foot enough indicators break excluding cons one best budget premium scrambler ever segment,0.9842,Positive
ATHER,450-apex,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,,superb bike price use daily rutiene bike also long rout milage good trust prefer whose people want daily routine work like field job porter daily works trust bike want milage,0.9493,Positive
ATHER,450-apex,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good ðŸ‘ ðŸ‘Œ. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike ðŸ . I will appreciate for your hard work ðŸ™ â¤ï¸ ðŸ’ª.,,good bike appearance speed shoot offf reading one best bike ever seen texture dezing lining etc good thanks honour launch bike india thanks team member made goges bike appreciate hard work,0.9607,Positive
ATHER,450-apex,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also ðŸ‘Œ good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raiderðŸ‘,,tvs raider best bike price range excellent companies bikes range range milage bike better engine also good looks bike glamorous give personality bikes many people neighbors already bikes recommend people bikea good bike tvs raider,0.9698,Positive
